Data Download from NCSES Interactive Data Tool

Filters,Selected values
"State","ALL"
"Fiscal Year","ALL"
"Institution Name","ALL"

"Deflator: 2012 Dollars",
"Unit of Measure: Thousands of Dollars",

,"<Fiscal Year>","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973",
"Illinois","Augustana C., Rock Island","-","-","-","-","-","-","-","-","672","484","479","-","229","412","447","740","299","220","185","151","115","77","78","79","81","82","84","94","97","102","108","113","98","88","77","66","55","24","6","5","39","-","45","35","7","7","8",
"Illinois","Benedictine U.","-","-","-","-","-","-","-","-","540","194","220","242","-","-","-","-","-","-","-","-","-","-","67","44","45","44","136","119","103","88","72","54","107","154","203","257","315","379","335","284","222","-","257","349","399","384","331",
"Illinois","Bradley U.","1,208","1,157","1,704","2,003","1,430","1,460","2,811","2,392","1,947","1,198","1,739","1,901","2,033","2,124","1,845","1,953","2,142","2,379","1,500","1,756","1,756","1,983","1,734","1,488","1,234","973","701","714","728","749","774","801","734","666","592","520","445","364","283","92","121","-","114","273","241","154","519",
"Illinois","Chicago School of Professional Psychology","-","-","-","-","-","-","-","-","190","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Illinois","Chicago State U.","799","1,048","-","859","-","-","-","565","2,053","1,663","5,942","2,079","2,297","2,353","2,096","1,761","1,399","1,600","1,773","1,618","1,658","947","1,020","1,034","1,030","1,773","1,521","1,401","1,279","1,164","1,043","913","887","851","810","775","740","1,079","1,474","996","413","-","254","562","459","271","319",
"Illinois","Columbia C., Chicago","-","-","-","-","-","-","590","1,318","1,469","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Illinois","DePaul U.","5,470","6,428","7,931","9,023","9,046","6,187","5,429","5,706","5,909","5,087","4,031","3,526","3,833","5,086","5,510","4,546","3,738","2,947","2,040","1,105","1,346","1,638","1,482","1,776","1,645","1,888","2,191","1,358","1,194","1,527","1,475","975","1,082","675","247","250","194","529","668","925","921","1,031","431","632","767","739","495",
"Illinois","Dominican U.","-","-","-","-","-","-","-","-","339","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Illinois","Eastern Illinois U.","-","-","835","-","-","-","794","-","730","781","9,900","9,350","9,413","839","721","594","458","311","158","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Illinois","Erikson Institute","2,029","3,253","3,673","2,942","2,287","1,274","1,966","2,511","1,235","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Illinois","Governors State U.","-","-","-","-","-","-","-","928","1,120","1,269","1,476","1,456","1,489","1,101","543","252","243","232","219","207","195","181","165","150","135","119","103","86","68","50","31","10","49","86","125","166","212","163","763","601","212","-","619","156","77","92","20",
"Illinois","Illinois Institute of Technology","30,566","30,219","30,254","28,155","32,767","30,243","36,089","32,576","45,316","38,033","27,061","26,822","28,912","27,373","32,122","28,738","32,129","24,563","18,451","17,590","17,596","18,614","21,737","21,863","16,590","12,577","11,973","9,347","10,829","10,669","11,184","12,776","14,848","10,266","10,927","10,358","9,327","10,588","9,673","8,457","6,897","5,897","7,887","6,951","5,910","8,335","11,307",
"Illinois","Illinois State U.","24,110","19,118","18,602","19,265","17,886","18,479","17,286","17,760","18,175","19,162","9,186","7,541","8,140","6,993","8,098","6,813","7,392","4,748","4,890","5,679","5,664","6,227","6,174","6,297","7,188","7,204","6,580","4,893","4,403","4,635","4,169","4,365","4,025","3,158","3,027","2,928","2,832","2,733","3,562","2,377","1,483","1,008","715","470","355","300","818",
"Illinois","Illinois Wesleyan U.","-","-","-","-","-","-","478","750","1,033","736","937","1,817","1,128","580","430","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","117","176",
"Illinois","Knox C.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","74","192","325","405","484","563","648","736","830","927","1,071","842","644","622","494","438","381","319","257","192","222","322","21","18","-","114","197","328","315","259",
"Illinois","Lake Forest C.","-","-","-","-","-","-","-","-","584","555","503","480","594","501","452","944","328","349","470","511","249","137","107","82","56","28","-","39","74","113","155","200","181","165","148","132","116","28","84","57","214","-","170","95","104","187","315",
"Illinois","Loyola U., Chicago","34,918","35,714","36,812","40,281","46,440","48,972","50,785","45,903","43,527","45,680","38,440","37,447","38,298","42,870","47,902","44,262","46,222","46,399","46,567","38,467","37,974","45,483","41,633","40,125","46,054","52,322","42,414","44,707","34,489","19,255","18,416","14,100","12,486","11,452","9,829","9,518","9,353","9,067","8,856","8,559","8,094","8,349","5,848","6,018","6,784","5,949","5,729",
"Illinois","Midwestern U.","9,208","9,237","8,529","7,299","8,169","7,051","6,183","5,200","4,099","3,773","3,639","2,860","2,550","3,093","3,665","3,322","3,301","3,161","3,034","3,164","2,227","2,444","3,022","2,066","2,958","2,739","2,150","1,629","2,084","1,823","2,690","3,813","3,106","2,278","2,177","1,732","1,978","1,622","1,606","1,370","1,073","693","1,160","886","915","436","251",
"Illinois","National U. of Health Sciences","-","-","-","-","-","-","-","-","494","988","729","843","862","663","189","473","751","712","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Illinois","North Central C.","-","-","-","-","-","-","-","-","212","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Illinois","Northeastern Illinois U.","2,206","2,217","1,300","-","-","678","-","-","543","740","4,849","6,370","6,246","6,117","6,020","3,490","2,779","266","343","236","132","247","712","385","2,105","418","286","382","50","185","125","63","91","113","136","161","188","69","73","17","83","-","60","89","34","18","16",
"Illinois","Northern Illinois U.","23,654","21,139","17,740","20,036","16,912","15,844","22,630","21,823","22,165","28,130","29,407","22,463","23,228","23,370","16,915","15,237","17,451","12,789","11,315","9,518","8,452","8,933","10,029","15,952","17,532","16,259","16,272","15,905","15,304","14,025","11,901","9,999","8,588","9,057","8,768","8,560","8,365","8,221","11,616","9,221","8,646","3,684","4,673","4,554","4,787","4,301","2,019",
"Illinois","Northwestern U.","763,003","731,565","696,454","673,520","626,181","622,428","628,746","631,078","630,852","598,350","584,726","550,008","511,492","499,391","473,030","450,604","414,474","348,116","323,266","314,784","306,151","296,528","269,918","255,882","241,739","241,434","235,488","210,882","219,994","209,124","193,877","173,989","155,874","144,025","132,556","129,014","100,038","93,239","92,969","100,814","95,308","86,507","78,864","73,866","70,680","63,246","64,880",
"Illinois","Roosevelt U.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","985","-","909","819","620","644","12",
"Illinois","Rosalind Franklin U. of Medicine and Science","14,356","15,223","15,754","15,821","15,845","17,162","17,101","15,587","14,535","12,929","14,078","12,863","13,190","12,192","13,635","12,520","12,020","10,666","10,073","9,717","8,857","8,863","8,962","9,595","9,312","10,025","10,052","8,762","7,456","7,374","7,389","7,398","6,777","6,605","6,375","6,176","5,988","5,795","5,859","4,355","2,507","1,858","1,997","2,226","2,228","3,631","3,184",
"Illinois","Rush U.","85,701","80,905","68,609","69,242","75,436","77,692","80,360","80,300","80,731","76,368","102,075","94,939","91,224","92,370","95,736","105,278","108,041","97,955","88,005","87,336","79,817","73,426","67,121","66,644","61,672","56,450","49,389","38,892","41,564","33,428","35,424","33,572","28,647","25,093","20,694","22,284","23,743","22,112","22,292","20,853","20,413","20,575","10,156","15,027","13,726","17,421","17,895",
"Illinois","Southern Illinois U., Carbondale","37,149","45,070","44,851","50,193","54,881","62,940","69,632","71,097","72,494","72,754","70,164","71,523","70,361","83,898","66,071","63,962","64,578","66,135","54,151","46,562","43,432","40,500","40,355","39,050","41,230","43,325","38,270","41,729","43,054","40,636","38,057","34,390","32,700","33,796","33,664","29,455","20,515","19,106","18,988","15,587","13,402","13,044","11,523","14,350","7,223","8,928","10,988",
"Illinois","Southern Illinois U., Edwardsville","16,103","16,726","16,112","17,728","18,180","18,244","25,362","26,992","34,383","33,067","51,723","50,133","48,277","47,140","45,657","46,217","56,282","17,326","1,592","1,721","1,723","1,283","1,560","1,852","2,155","2,476","2,810","2,531","2,239","1,954","1,652","1,328","1,215","1,089","951","817","676","824","1,435","1,961","1,689","1,405","1,495","1,372","2,684","3,492","3,144",
"Illinois","Toyota Technological Institute, Chicago","3,277","2,952","2,668","2,558","2,427","-","-","-","760","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Illinois","Triton C.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","108",
"Illinois","U. Chicago","408,775","384,994","401,422","397,412","393,684","376,237","395,677","419,631","462,261","455,435","401,242","381,873","351,578","342,590","339,527","324,127","304,141","277,926","243,296","218,602","213,178","201,420","202,201","185,416","175,687","173,177","162,328","175,453","172,109","185,257","178,297","166,854","161,061","158,122","146,468","145,605","147,513","140,476","140,088","138,236","151,965","162,302","177,389","175,002","180,051","192,483","208,197",
"Illinois","U. Illinois, Chicago","340,919","328,421","345,183","318,400","338,357","335,540","361,503","388,625","388,132","377,626","365,374","360,297","372,828","374,370","368,869","374,267","358,255","320,600","292,140","250,828","229,268","201,558","187,110","166,077","166,113","161,584","155,182","151,902","137,518","133,920","135,772","128,554","113,419","98,521","89,304","84,207","87,154","71,418","55,500","55,738","50,781","42,427","37,913","30,647","31,901","30,182","33,232",
"Illinois","U. Illinois, Springfield","1,670","1,965","2,686","1,589","1,975","1,848","2,237","2,370","2,040","2,181","2,137","2,599","2,517","2,135","2,434","2,608","3,098","2,867","2,538","1,166","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Illinois","U. Illinois, Urbana-Champaign","603,163","592,672","594,808","590,157","610,578","599,666","730,664","583,754","556,135","535,979","612,403","549,755","532,346","549,317","600,179","628,982","628,913","527,038","489,866","477,764","469,091","437,371","384,802","367,565","342,540","348,632","366,817","374,263","369,743","354,375","343,123","334,234","330,753","285,519","255,745","225,335","194,170","195,127","201,630","196,992","195,955","206,281","177,353","181,020","171,542","178,100","166,818",
"Illinois","Western Illinois U.","2,113","2,239","1,858","-","821","1,301","1,949","4,514","1,557","1,270","3,834","4,876","7,661","8,387","9,940","11,859","13,731","8,688","9,724","10,873","13,158","21,096","19,010","18,470","19,493","19,576","20,963","17,527","13,908","10,224","6,297","2,066","1,990","1,893","1,783","1,686","1,588","1,577","1,640","1,613","1,501","-","1,256","464","951","615","898",
"Illinois","Wheaton C., Wheaton","1,935","1,590","1,176","-","747","1,256","-","844","1,210","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Indiana","Total for selected values","1,478,977","1,366,955","1,353,767","1,329,936","1,263,327","1,262,401","1,313,294","1,306,462","1,295,748","1,234,433","1,180,870","1,127,300","1,073,226","1,008,142","942,708","1,075,235","944,330","802,842","732,447","652,101","602,874","566,300","539,490","534,632","524,626","477,970","441,293","420,956","399,347","378,490","370,662","358,922","329,742","317,087","291,574","274,211","261,827","251,077","262,947","240,020","231,433","223,435","208,492","217,942","214,488","211,134","218,970",
"Indiana","Ball State U.","10,812","10,136","8,149","11,104","10,066","8,882","10,178","11,740","19,125","21,306","17,519","16,398","13,778","14,631","13,006","12,660","4,697","4,945","3,849","3,111","2,692","3,136","4,132","3,644","3,128","2,844","1,918","1,799","1,885","1,335","1,300","1,178","1,164","1,302","1,329","1,130","1,040","1,071","1,260","603","315","302","682","559","693","469","942",
"Indiana","Butler U.","-","-","-","-","-","-","-","-","622","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","383","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Indiana","DePauw U.","-","-","-","-","-","-","-","-","446","523","626","472","461","473","462","452","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","146","165","261","297","379",
"Indiana","Earlham C.","-","-","-","523","-","-","-","-","477","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","121","136",
"Indiana","IN U. all campuses","-","-","-","-","-","-","-","-","-","-","490,160","464,000","446,581","419,927","362,018","473,902","420,043","368,999","325,730","291,682","255,059","228,144","221,903","210,787","202,473","194,082","185,543","174,625","155,659","140,081","133,269","124,497","114,541","106,270","100,412","90,070","86,828","86,620","73,748","71,694","70,665","71,024","60,280","69,731","77,779","79,594","88,871",
"Indiana","Indiana State U.","1,497","1,201","1,189","1,664","1,471","1,385","1,217","1,857","2,018","1,603","1,593","2,013","1,986","2,667","1,823","2,258","1,658","1,505","1,885","5,374","6,517","6,980","1,699","2,115","1,681","1,480","1,212","1,882","1,791","1,418","1,576","1,607","948","1,405","1,264","1,130","991","965","1,202","601","418","299","897","994","1,320","1,197","1,225",
"Indiana","Indiana U.-Purdue U., Indianapolis","60,212","54,936","53,781","54,612","53,415","312,752","327,021","316,914","328,805","308,180","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Indiana","Indiana U., Bloomington","594,825","514,762","500,630","480,264","462,909","198,726","194,484","184,486","187,627","184,704","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Indiana","Indiana U., Northwest","-","-","-","-","-","-","-","-","303","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Indiana","Indiana U., South Bend","-","870","962","1,391","1,545","1,509","1,386","1,219","1,120","1,113","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Indiana","Indiana U., Southeast","-","-","-","-","-","-","555","-","465","425","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Indiana","Indiana Wesleyan U.","-","-","-","-","-","-","-","-","287","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Indiana","Purdue U. all campuses","-","-","-","-","-","-","-","-","-","-","551,681","525,112","511,065","466,797","466,524","478,858","420,415","352,587","319,486","300,390","296,464","287,553","277,500","282,786","283,048","245,389","216,238","208,335","207,105","204,770","202,565","201,152","187,797","183,450","162,845","157,809","147,897","136,977","159,324","146,111","142,122","134,213","127,762","129,253","117,623","110,945","108,984",
"Indiana","Purdue U., Calumet","-","-","-","7,374","9,227","7,876","8,117","14,897","12,175","14,581","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Indiana","Purdue U., Fort Wayne","2,151","4,490","4,867","5,619","6,730","7,602","7,988","8,570","9,034","8,868","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Indiana","Purdue U., North Central","-","-","-","1,289","1,053","1,131","1,500","1,518","1,464","1,404","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Indiana","Purdue U., Northwest","4,693","7,320","8,267","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Indiana","Purdue U., West Lafayette","591,059","573,481","576,956","572,336","533,083","544,872","585,464","602,501","589,321","571,196","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Indiana","Rose-Hulman Institute of Technology","-","-","-","-","-","-","631","1,081","1,292","1,542","3,584","4,056","5,288","7,579","7,614","10,063","17,555","9,762","23,236","6,396","1,482","1,375","1,267","1,163","1,056","948","834","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Indiana","Taylor U.","-","-","-","-","-","-","-","-","340","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Indiana","U. Notre Dame","213,729","199,758","197,153","190,888","182,228","175,760","172,198","157,691","136,988","114,835","110,381","109,574","88,956","91,196","86,440","92,508","79,530","64,614","57,772","44,218","39,915","38,353","32,394","33,554","32,465","32,437","34,453","33,686","32,362","30,427","31,585","30,216","25,258","24,396","25,482","23,961","25,057","25,385","27,291","20,924","17,887","17,597","18,677","17,240","16,811","18,344","18,062",
"Indiana","U. Southern Indiana","-","-","-","-","-","-","-","-","284","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Indiana","Valparaiso U.","-","-","1,812","2,871","1,601","1,365","1,069","2,111","1,417","823","821","918","825","776","558","650","431","431","490","929","745","758","595","582","774","790","711","630","544","459","368","271","33","264","242","110","14","59","123","88","26","-","48","-","-","59","116",
"Indiana","Wabash C.","-","-","-","-","-","539","1,488","1,877","2,138","3,329","4,504","4,756","4,285","4,095","4,263","3,885","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","110","255",
"Iowa","Total for selected values","783,795","804,378","769,431","768,428","724,120","746,297","702,045","718,281","738,506","735,264","602,703","572,624","653,857","654,770","647,797","647,523","618,745","599,316","551,211","535,705","491,420","476,353","460,206","455,300","450,184","449,410","434,601","400,023","395,283","366,026","342,092","308,235","277,042","263,649","243,111","226,182","234,992","225,997","223,479","224,648","209,604","187,865","181,868","166,314","157,692","146,523","145,077",
"Iowa","Central C.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","81","231",
"Iowa","Coe C.","-","-","-","-","-","-","-","-","316","475","301","470","481","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Iowa","Des Moines U.","1,740","1,292","1,312","1,323","-","896","-","-","942","890","913","1,063","861","998","900","797","819","946","961","534","881","553","406","432","111","514","575","53","248","105","158","183","35","22","11","-","-","-","-","-","-","-","60","-","-","-","243",
"Iowa","Drake U.","770","1,002","1,126","1,471","-","-","902","-","985","1,075","1,075","1,752","2,129","2,345","2,454","2,424","1,351","1,299","459","599","457","470","482","497","513","531","550","282","538","286","272","276","252","226","198","170","141","187","450","471","513","-","574","832","1,424","1,453","1,173",
"Iowa","Grinnell C.","4,896","5,060","4,588","3,949","3,553","3,833","3,954","2,735","1,366","2,153","785","1,257","1,277","1,013","1,294","1,932","1,490","1,355","702","1,921","5,630","441","446","454","462","472","482","505","527","556","588","623","600","571","539","510","482","452","428","412","387","-","144","175","312","278","247",
"Iowa","Iowa State U.","319,130","327,982","299,759","309,988","292,135","302,144","261,998","260,995","272,774","260,242","240,545","241,999","238,957","252,687","246,907","257,574","248,211","232,770","224,585","224,852","211,209","208,235","208,786","207,581","215,581","221,592","215,407","196,927","204,571","182,611","168,215","146,848","137,347","130,488","123,281","118,099","127,039","112,543","113,054","117,000","117,995","111,582","104,744","96,577","88,265","81,092","80,987",
"Iowa","Loras C.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","191","142","90","114","104","92","81","69","57","44","30","29","27","26","25","24","24","24","23","-","27","32","27","44","44",
"Iowa","Luther C.","-","-","-","-","-","-","-","-","433","356","356","474","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Iowa","Maharishi U. of Management","-","-","-","-","-","-","-","-","-","-","-","-","303","554","563","3,360","3,451","3,840","2,020","2,090","-","-","-","-","973","1,102","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Iowa","Palmer C. of Chiropractic, Davenport","1,469","1,453","1,701","1,425","1,620","2,639","3,709","4,507","4,954","4,883","3,595","3,542","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Iowa","U. Iowa","452,560","464,881","457,886","446,844","422,963","433,205","427,868","446,429","452,407","462,003","352,552","318,634","405,363","395,453","392,405","377,969","361,219","356,325","320,026","303,475","271,224","264,419","247,715","243,538","229,441","223,090","215,918","201,143","188,469","181,838","172,547","160,100","138,642","132,202","118,970","107,320","107,277","112,771","109,355","106,527","90,417","76,284","76,155","68,591","67,433","62,883","61,389",
"Iowa","U. Northern Iowa","3,230","2,709","3,060","3,429","3,848","3,579","3,615","3,615","4,329","3,188","2,582","3,433","4,487","1,720","3,274","3,467","2,206","2,781","2,458","2,234","2,019","2,234","2,180","2,656","3,013","1,995","1,566","1,020","849","561","254","161","137","111","84","57","27","20","169","215","268","-","164","108","231","685","646",
"Iowa","Wartburg C.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","7","116",
"Kansas","Total for selected values","626,481","581,799","535,040","527,948","536,560","528,369","535,958","527,122","520,850","502,443","492,425","458,589","435,057","424,672","447,080","427,549","406,885","369,894","337,007","331,022","307,234","283,264","266,126","249,393","253,228","240,642","224,397","207,259","189,402","180,809","176,461","169,451","165,249","163,175","147,197","135,079","124,734","114,893","119,789","117,035","111,465","106,615","110,439","109,028","102,808","121,648","124,924",
"Kansas","Benedictine C.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","59","132",
"Kansas","Emporia State U.","-","-","-","-","-","-","-","-","535","-","-","-","-","-","-","-","71","96","122","149","177","205","232","262","294","327","361","302","245","187","125","59","51","49","46","43","41","61","186","166","119","-","215","64","74","271","231",
"Kansas","Fort Hays State U.","1,018","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Kansas","Haskell Indian Nations U.","-","-","-","-","-","-","831","1,961","1,157","1,018","2,193","729","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Kansas","Kansas State U.","194,628","198,220","182,011","182,428","180,097","178,381","179,938","176,141","172,412","167,181","159,337","150,115","137,171","140,963","145,076","143,188","138,482","131,773","117,847","117,563","112,059","107,903","103,291","97,321","98,937","93,330","90,774","85,739","80,533","79,017","77,071","73,104","71,148","73,124","68,228","67,296","68,807","70,842","69,262","65,747","63,293","60,823","53,197","52,380","48,783","48,878","49,702",
"Kansas","Pittsburg State U.","2,237","2,046","2,089","2,041","2,109","2,387","1,510","1,479","1,719","1,830","2,277","2,209","2,786","3,134","2,914","2,496","2,318","2,407","2,708","2,130","2,113","2,166","485","746","391","399","440","477","512","554","601","652","540","419","290","157","16","16","15","14","26","-","60","89","111","95","215",
"Kansas","U. Kansas","313,939","307,860","278,207","281,242","297,153","290,832","293,350","286,262","279,996","278,805","248,984","241,220","237,370","238,456","238,256","229,347","223,223","212,372","196,099","190,414","173,826","155,566","146,271","137,531","140,122","135,956","123,525","111,407","100,240","96,031","93,053","87,580","88,705","85,959","75,170","64,638","53,594","41,794","47,614","47,002","44,813","43,133","54,216","53,984","50,729","69,169","71,519",
"Kansas","Washburn U.","-","-","-","-","-","-","-","-","274","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Kansas","Wichita State U.","114,659","73,674","72,733","62,237","57,201","56,770","60,329","61,279","64,757","53,609","79,634","64,316","57,730","42,118","60,835","52,518","42,790","23,247","20,231","20,765","19,058","17,424","15,846","13,533","13,485","10,631","9,296","9,335","7,873","5,020","5,610","8,056","4,805","3,625","3,463","2,945","2,276","2,180","2,712","4,107","3,214","2,659","2,751","2,512","3,112","3,177","3,124",
"Kentucky","Total for selected values","543,926","541,662","540,206","515,910","493,139","514,887","541,439","586,240","607,514","598,557","578,383","567,811","583,005","566,192","547,243","553,617","480,696","412,339","373,817","354,760","359,991","320,816","258,873","240,272","216,156","197,253","185,348","169,417","154,410","149,352","141,445","159,962","141,715","128,142","103,577","104,596","102,288","99,012","94,860","90,406","97,998","92,591","82,577","72,840","71,742","63,454","66,500",
"Kentucky","Bellarmine U.","-","-","-","-","-","-","-","-","204","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Kentucky","Berea C.","-","-","-","-","-","-","-","-","216","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Kentucky","Centre C.","-","-","-","-","-","-","-","-","487","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Kentucky","Eastern Kentucky U.","1,002","1,037","1,156","1,403","1,604","2,142","2,796","3,404","3,855","3,674","2,446","5,696","7,115","4,782","1,503","569","613","822","965","820","48,066","40,729","33,072","25,388","17,447","9,231","663","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Kentucky","Kentucky State U.","7,507","8,286","7,551","6,776","5,742","5,492","5,508","6,859","4,649","5,111","5,462","4,954","4,076","4,311","3,546","31,570","8,853","7,635","5,008","3,015","934","947","2,873","3,789","4,063","3,786","3,408","3,750","3,078","4,486","2,804","2,873","3,254","2,975","2,668","2,374","2,254","2,129","2,034","1,533","916","-","2,308","2,077","1,809","1,929","1,891",
"Kentucky","Morehead State U.","1,805","2,210","2,649","2,265","1,754","1,825","2,586","2,174","2,057","2,232","1,883","2,993","1,912","1,520","2,592","1,769","2,014","1,672","1,543","1,418","1,287","1,141","987","835","678","516","347","315","283","251","218","183","151","122","92","60","27","47","69","324","526","-","149","102","918","66","331",
